Chicken Manchurian Noodles,Rs.200
Chicken Singapore Noodles,Rs.200
Chicken Gravy Noodles,Rs.200
Chicken Chilli Noodles,Rs.220
Rare Special Chicken Multiple Noodles,Rs.210
Rare Special Chicken Chopper Noodles,Rs.250
Rare Special Chicken Packing Noodles,Rs.250
Rare Special Chicken Black Queen Noodles,Rs.250
Rare Special Chicken Black King Noodles,Rs.250
Rare Special Chicken Lollipop Noodles,Rs.250
Rare Special Chicken Teriyaki Noodles,Rs.280
Veg Fried Rice,Rs.140
Veg Triple Schezwan Fried Rice,Rs.200
Chicken Fried Rice,Rs.170
Chicken Schezwan Fried Rice,Rs.180
Chicken Hong Kong Fried Rice,Rs.200
Chicken Garlic Fried Rice,Rs.200
Chicken Singapore Fried Rice,Rs.200
Chicken Triple Fried Rice,Rs.200
Rare Special Chicken Chopper Fried Rice,Rs.250
Veg Schezwan Fried Rice,Rs.150
Veg Combination Fried Rice,Rs.160
Veg Hong Kong Fried Rice,Rs.170
Veg Singapore Fried Rice,Rs.170
Veg Coriander Fried Rice,Rs.170
Veg Manchurian Fried Rice,Rs.180
Veg Chilli Garlic Fried Rice,Rs.180
Veg Chopper Fried Rice,Rs.150
Veg Paneer Chopper Fried Rice,Rs.200
Special Paneer Fried Rice,Rs.200
Egg Fried Rice,Rs.150
Egg Extra Fried Rice,Rs.170
Egg Schezwan Fried Rice,Rs.180
Egg Manchurian Fried Rice,Rs.200
Egg Triple Fried Rice,Rs.200
Chicken Combination Fried Rice,Rs.180
Chicken Manchurian Fried Rice,Rs.200
Chicken Combo Schezwan Fried Rice,Rs.200
Chicken Chilli Fried Rice,Rs.220
Rare Special Chicken Multiple Fried Rice,Rs.210
Rare Special Chicken Packing Fried Rice,Rs.250
Rare Special Chicken Black Queen Fried Rice,Rs.250
Rare Special Chicken Black King Fried Rice,Rs.250
Rare Special Chicken Lollipop Fried Rice,Rs.250
Rare Special Chicken Teriyaki Fried Rice,Rs.280
Boiled Egg,Rs.100
Boiled Masala Egg,Rs.150
Egg Masala Fried,Rs.150
Egg Cheese Fried,Rs.160
Large Masala Egg,Rs.160
Egg Pakoda,Rs.180
Chicken Chinese Bhel,Rs.200
Item Name,Item Price
Veg Manchow Soup,Rs.70
Veg Manchurian Soup,Rs.80
Veg Clear Soup,Rs.80
Veg Special Soup,Rs.100
Veg Ginger Soup,Rs.80
Chicken Manchow Soup,Rs.80
Chicken Manchurian Soup,Rs.90
Chicken Clear Soup,Rs.80
Chicken Ginger Soup,Rs.80
Chicken Special Soup,Rs.110
Chicken Lung Fung Soup,Rs.150
Chicken Lollipop Masala,Rs.360
Chicken Lollipop Dry,Rs.310
Chicken Chilli Dry,Rs.130
Chicken Manchurian Dry,Rs.130
Chicken 65,Rs.210
Chicken Crispy,Rs.250
Veg Crispy,Rs.200
Veg Chilli Dry,Rs.110
Veg Manchurian Dry,Rs.110
Paneer Chilli,Rs.240
Paneer Crispy,Rs.250
Veg Chilli Gravy,Rs.120
Veg Manchurian Gravy,Rs.120
Chicken Lollipop Gravy,Rs.230
Chicken Chilli Gravy,Rs.220
Chicken Manchurian Gravy,Rs.220
Veg Biryani Fried Rice,Rs.250
Veg Masala Rice,Rs.230
Veg Cheese Rice,Rs.230
Chicken Masala Rice,Rs.250
Veg Hakka Noodles,Rs.100
Veg Schezwan Noodles,Rs.110
Veg Triple Noodles,Rs.130
Veg Malaysia Noodles,Rs.240
Veg Chilli Noodles,Rs.220
Veg Combination Noodles,Rs.130
Veg Paneer Noodles,Rs.250
Veg Paneer Triple Noodles,Rs.270
Veg Singapore Noodles,Rs.110
Chicken Hakka Noodles,Rs.110
Chicken Schezwan Noodles,Rs.120
Chicken Triple Noodles,Rs.140
Chicken Manchurian Noodles,Rs.130
Chicken Hong Kong Noodles,Rs.120
Chicken Singapore Noodles,Rs.120
Chicken Sherpa Noodles,Rs.240
Chicken Malaysian Noodles,Rs.300
Chicken Chilli Noodles,Rs.280
Veg Fried Rice,Rs.100
Veg Schezwan Rice,Rs.110
Veg Triple Rice,Rs.130
Veg Manchurian Rice,Rs.130
Veg Malaysian Rice,Rs.240
Veg Combination Rice,Rs.130
Veg Paneer Rice,Rs.250
Veg Paneer Triple Rice,Rs.270
Veg Paneer Chilli Rice,Rs.270
Veg Singapore Rice,Rs.110
Egg Fried Rice,Rs.110
Chicken Fried Rice,Rs.110
Chicken Schezwan Rice,Rs.120
Chicken Triple Rice,Rs.140
Chicken Manchurian Rice,Rs.130
Chicken Combination Rice,Rs.120
Chicken Hong Kong Rice,Rs.120
